X;Y
918.79;214.89
981.79;212.50
1030.80;163.80
1030.80;92.50
981.79;43.80
911.79;43.80
862.79;92.50
813.79;43.80
743.79;43.80
694.79;92.50
645.79;43.80
575.79;43.80
526.79;92.50
477.79;43.80
407.79;43.80
358.79;92.50
309.79;43.80
239.80;43.80
190.80;92.50
141.80;43.80
71.80;43.80
22.80;92.50
22.80;163.80
78.80;214.89
141.80;212.50
190.80;163.80
246.80;214.89
309.79;212.50
358.79;163.80
414.79;214.89
477.79;212.50
526.79;163.80
582.79;214.89
645.79;212.50
694.79;163.80
750.79;214.89
813.79;212.50
862.79;163.80